System Timestamp	Message	Message Type	GT_depth	World Gaze Point X	World Gaze Point Y	World Gaze Point Z	World Gaze Origin R X	World Gaze Origin R Z	World Gaze Origin L X	World Gaze Origin L Z	World Gaze Direction R X	World Gaze Direction R Y	World Gaze Direction R Z	World Gaze Direction L X	World Gaze Direction L Y	World Gaze Direction L Z	Estimated Depth
63817692370291	 sample	DepthCalibration	1.34837790807282	-0.228457	0.09616632	9.546878	0.03037981	-0.026	-0.03245892	-0.026	-0.05780753	0.002916004	0.9983235	0.01033924	0.01715655	0.9997994	5.77051299448304
63817692370306	 sample	DepthCalibration	1.35227550596647	-0.2295172	0.0986053	9.496205	0.03037981	-0.026	-0.03245892	-0.026	-0.05750991	0.003448385	0.998339	0.00956604	0.01724301	0.9998056	7.40747064056881
63817692370306	 sample	DepthCalibration	1.35227550596647	-0.2295172	0.0986053	9.496205	0.03037981	-0.026	-0.03245892	-0.026	-0.05750991	0.003448385	0.998339	0.00956604	0.01724301	0.9998056	7.40747064056881
63817692370475	 sample	DepthCalibration	1.39534378956466	-0.3130448	0.0537725	9.693686	0.03037981	-0.026	-0.03245892	-0.026	-0.06699365	-0.005450691	0.9977385	0.002870064	0.01650206	0.9998597	3.57683612218224
63817692370476	 sample	DepthCalibration	1.39534378956466	-0.3130448	0.0537725	9.693686	0.03037981	-0.026	-0.03245892	-0.026	-0.06699365	-0.005450691	0.9977385	0.002870064	0.01650206	0.9998597	3.57683612218224
63817692370494	 sample	DepthCalibration	1.40004139566529	-0.3132391	0.04009	9.501552	0.03037981	-0.026	-0.03245892	-0.026	-0.06824345	-0.007112972	0.9976434	0.002788594	0.01551813	0.9998757	3.58175300629947
63817692370494	 sample	DepthCalibration	1.40004139566529	-0.3132391	0.04009	9.501552	0.03037981	-0.026	-0.03245892	-0.026	-0.06824345	-0.007112972	0.9976434	0.002788594	0.01551813	0.9998757	3.58175300629947
63817692370499	 sample	DepthCalibration	1.40147470732998	-0.3130278	0.03718007	9.437285	0.03037981	-0.026	-0.03245892	-0.026	-0.06860205	-0.007178204	0.9976183	0.002747857	0.01502614	0.9998834	3.58175300629947
63817692370500	 sample	DepthCalibration	1.40147470732998	-0.3130278	0.03718007	9.437285	0.03037981	-0.026	-0.03245892	-0.026	-0.06860205	-0.007178204	0.9976183	0.002747857	0.01502614	0.9998834	3.58175300629947
63817692370527	 sample	DepthCalibration	1.40839650258857	-0.3175727	0.03250995	8.909225	0.03037981	-0.026	-0.03245892	-0.026	-0.07075331	-0.00756959	0.9974651	-3.62257E-06	0.01483677	0.9998899	3.58698727863084
